name,username,link,followers,reps,language,location,contributions,interests
Sergey Avseyev,avsej,https://github.com/avsej,66,89,Ruby,"Belarus, Minsk",Couchbase Ruby client library ,
Sergey Nartimov,lest ,https://github.com/lest,59,61,Ruby,"Belarus, Minsk","Errbit - for collecting and managing errors from other applications, Ruby on Rails, Capistrano deploy recipes.",
Sergey Tarasevich,nostra13,https://github.com/nostra13,55,2,Java,"Belarus, Hrodna",Universal Image Loader for Android,
Vasiliy Ermolovich,nashby,https://github.com/nashby,53,89,Ruby,"Belarus, Minsk","Errbit - for collecting and managing errors from other applications, Ruby on Rails, Capistrano deploy recipes.",
Eugeny Pankov,Eugeny,https://github.com/Eugeny,53,15,C#,"Belarus, Minsk",Ajenti - an easy server administration frontend,
